file_path,source,augmentation,class_label
c3dgan/mixed_dataset/augmented_traditional/real_CR32a95c3-CR3dcb963-000076_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR32a95c3-CR3dcb963-000076_aug_0.mp4,augmented,rotation_flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a95c3-CR3dcb963-000076_aug_1.mp4,augmented,flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a95c3-CR3dcb963-000076_aug_2.mp4,augmented,rotation_flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a9720-CR32a9a7b-000045_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR32a9720-CR32a9a7b-000045_aug_0.mp4,augmented,flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a9720-CR32a9a7b-000045_aug_1.mp4,augmented,rotation_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a9720-CR32a9a7b-000045_aug_2.mp4,augmented,rotation_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcac7d-CR3dcaf51-000082_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcac7d-CR3dcaf51-000082_aug_0.mp4,augmented,rotation_flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcac7d-CR3dcaf51-000082_aug_1.mp4,augmented,rotation_flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcac7d-CR3dcaf51-000082_aug_2.mp4,augmented,rotation_flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcb8f2-CR3dcb997-000058_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcb8f2-CR3dcb997-000058_aug_0.mp4,augmented,rotation_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcb8f2-CR3dcb997-000058_aug_1.mp4,augmented,rotation_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcb8f2-CR3dcb997-000058_aug_2.mp4,augmented,rotation_flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a971a-CR3dcaddd-000062_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR32a971a-CR3dcaddd-000062_aug_0.mp4,augmented,flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a971a-CR3dcaddd-000062_aug_1.mp4,augmented,rotation_flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a971a-CR3dcaddd-000062_aug_2.mp4,augmented,brightness_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a7555-CR3dca855-000080_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR32a7555-CR3dca855-000080_aug_0.mp4,augmented,rotation_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a7555-CR3dca855-000080_aug_1.mp4,augmented,rotation_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a7555-CR3dca855-000080_aug_2.mp4,augmented,flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a9654-CR3dcaa68-000030_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR32a9654-CR3dcaa68-000030_aug_0.mp4,augmented,rotation_contrast,augmented
