file_path,sex,age,age_bin,bmi_category,weight,height
demographic_variations/video_0000_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0000_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0000_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0001_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0001_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0001_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0002_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0002_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0002_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0003_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0003_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0003_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0004_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0004_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0004_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0005_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0005_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0005_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0006_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0006_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0006_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0007_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0007_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0007_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0008_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0008_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0008_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0009_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0009_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0009_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0010_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0010_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0010_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0011_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0011_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0011_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0012_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0012_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0012_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0013_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0013_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0013_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0014_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0014_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0014_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0015_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0015_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0015_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0016_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0016_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0016_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0017_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0017_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0017_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0018_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0018_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0018_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0019_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0019_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0019_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0020_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0020_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0020_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0021_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0021_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0021_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0022_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0022_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0022_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0023_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0023_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0023_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0024_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0024_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0024_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0025_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0025_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0025_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0026_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0026_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0026_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0027_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0027_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0027_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0028_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0028_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0028_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0029_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0029_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0029_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0030_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0030_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0030_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0031_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0031_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0031_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0032_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0032_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0032_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0033_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0033_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0033_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0034_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0034_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0034_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0035_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0035_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0035_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0036_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0036_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0036_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0037_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0037_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0037_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0038_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0038_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0038_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0039_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0039_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0039_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0040_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0040_var2_sex_variation.mp4,M,1.0,0-1,Normal,50.0,150.0
demographic_variations/video_0040_var3_bmi_variation.mp4,F,1.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0041_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0041_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
demographic_variations/video_0041_var3_bmi_variation.mp4,F,0.0,0-1,Overweight,50.0,150.0
demographic_variations/video_0042_var1_age_variation.mp4,F,12.5,11-15,Normal,50.0,150.0
demographic_variations/video_0042_var2_sex_variation.mp4,M,0.0,0-1,Normal,50.0,150.0
